"","ID","title","description","streetaddress","city","state","amenityfeatures","type","unclear_address","Year"
"1","3819","Lark St.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"2","3820","State St.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"3","3821","Willet St. ","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"4","3824","Washington Park ","by lake & tennis courts ",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"5","3857","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"6","3863","Woodlawn Beach",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"7","3916","Anvil ","(Disco) ","500 W. 14th Ave.","New York","NY","(P),(D),(RT),(AYOR),(F&S)","Bars/Clubs",NA,1986
"8","4056","Port Authority Bldg. ","T-Room",NA,"New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"9","4057","Subway stations ",NA,NA,"New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"10","4082","Central Park ","Bethesda Fountain & The Rambles- West side betw. 72nd & 96th Sts.",NA,"New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"11","4117","'Vaseline Alley' ","37th Rd. by foot or car ","Mills Ave.","New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"12","4147","Syracuse U. ","Maxwell Hall downstairs T-Room",NA,"Syracuse","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"13","4161","Valley View Park ","off Utica Pkwy. ",NA,"Tupper Lake","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1986
"14","3838","Lark","State & Willet Sts. nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1987
"15","3842","Washington Park","by lake & tennis courts",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1987
"16","3880","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1987
"17","3885","Woodlawn Beach","Lakeshore Rd. ",NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1987
"18","4077","Port Authority Bldg. ",NA,NA,"Midtown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1987
"19","4078","Subway stations",NA,NA,"Midtown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1987
"20","4106","Central Park","Bethesda Fountain",NA,"Uptown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1987
"21","4142","'Vaseline Alley'","37th Rd. by foot or car",NA,"Queens","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1987
"22","4209","Syracuse U.","Maxwell Hall downstairs",NA,"Syracuse","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1987
"23","4224","Valley View Park","off Utica Pkwy.",NA,"Utica","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1987
"24","4118","Bethesda Fountain & 
The Rambles","West side betw. 72nd & 96th Sts.",NA,"Uptown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"25","4239","Valley View Park","off Utica Pkwy.",NA,"Utica","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"26","4223","Syracuse U.","Maxwell Hall downstairs",NA,"Syracuse","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"27","4154","'Vaseline Alley'","37th Rd. by foot or car",NA,"Queens","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"28","4092","Subway stations",NA,NA,"Midtown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"29","4091","Port Authority Bldg.",NA,NA,"Midtown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"30","3929","Rumors","(Disco) (WE-hot) Exit 20 off Northway 87 to Rt. 149",NA,"Lake George","NY","(*),(D),(S),(V),(PT),(WE),(YC)","Bars/Clubs","checked",1988
"31","3883","Woodlawn Beach","Lakeshore Rd.",NA,"Buffalo","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"32","3875","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"33","3837","Washington Park","by lake & tennis courts",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"34","3834","Lark","State & Willet Sts. nr. Washington Park ",NA,"Albany","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"35","3907","Lark, State, & Willet Sts. nr. Washington Park",NA,NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"36","3909","Washington Park by lake & tennis courts",NA,NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"37","3946","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"38","3950","Woodlawn Beach-Lakeshore Rd.",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"39","4131","Grand Central Station","(Busy lu's but AYOR)",NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"40","4132","Penn Station","(Busy lu's but AYOR)",NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"41","4133","Port Authority Bldg.",NA,NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"42","4151","Central Park","Bethesda Fountain",NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"43","4156","Bronx River Park btw. Glenn Rd. & Burke",NA,NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"44","4214","'Rest Stop' 490 W. ",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"45","4215","Durand-Eastman Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"46","4216","Genesee Valley Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"47","4217","Manhattan Square Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"48","4218","Washington Square Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"49","4240","Syracuse U. ","Maxwell Hall (dwnstrs.)",NA,"Syracuse","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"50","4255","Valley View Park off Utica Pkwy.",NA,NA,"Utica","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"51","4118","Bethesda Fountain & 
The Rambles","West side betw. 72nd & 96th Sts.",NA,"Uptown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"52","4239","Valley View Park","off Utica Pkwy.",NA,"Utica","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"53","4223","Syracuse U.","Maxwell Hall downstairs",NA,"Syracuse","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"54","4154","'Vaseline Alley'","37th Rd. by foot or car",NA,"Queens","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"55","4092","Subway stations",NA,NA,"Midtown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"56","4091","Port Authority Bldg.",NA,NA,"Midtown","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"57","3929","Rumors","(Disco) (WE-hot) Exit 20 off Northway 87 to Rt. 149",NA,"Lake George","NY","(*),(D),(S),(V),(PT),(WE),(YC)","Bars/Clubs","checked",1988
"58","3883","Woodlawn Beach","Lakeshore Rd.",NA,"Buffalo","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"59","3875","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"60","3837","Washington Park","by lake & tennis courts",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1988
"61","3834","Lark","State & Willet Sts. nr. Washington Park ",NA,"Albany","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1988
"62","3907","Lark, State, & Willet Sts. nr. Washington Park",NA,NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"63","3909","Washington Park by lake & tennis courts",NA,NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"64","3946","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"65","3950","Woodlawn Beach-Lakeshore Rd.",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"66","4131","Grand Central Station","(Busy lu's but AYOR)",NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"67","4132","Penn Station","(Busy lu's but AYOR)",NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"68","4133","Port Authority Bldg.",NA,NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"69","4151","Central Park","Bethesda Fountain",NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"70","4156","Bronx River Park btw. Glenn Rd. & Burke",NA,NA,"New York ","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"71","4214","'Rest Stop' 490 W. ",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"72","4215","Durand-Eastman Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"73","4216","Genesee Valley Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"74","4217","Manhattan Square Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"75","4218","Washington Square Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"76","4240","Syracuse U. ","Maxwell Hall (dwnstrs.)",NA,"Syracuse","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"77","4255","Valley View Park off Utica Pkwy.",NA,NA,"Utica","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1989
"78","3518","Lark, State, & Willet Sts near Washington Park",NA,NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"79","3529","Greyhound Bus Depot",NA,NA,"Binghampton","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"80","3548","La Salla Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"81","3552","Woodlawn Beach lakeshore Rd ",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"82","3553","'Rest Stop' on I-87 N. btwn exits 9 & 10 ",NA,NA,"Clifton Park","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"83","3723","Grand Central Station",NA,NA,"New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"84","3724","Penn Station",NA,NA,"New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"85","3725","Port Authority Bldg",NA,NA,"New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"86","3740","Central Park-Bethesda Fountain & the Rambles (W. side btwn 72nd & 96th)",NA,NA,"New York","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"87","3836","'Rest Stop' 490 W.",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1990
"88","3727","Lark","State & Willet Sts. near Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1991
"89","3739","Greyhound Bus Depot",NA,NA,"Binghampton","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1991
"90","3759","La Salle Park",NA,NA,"Buffalo","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1991
"91","3762","Woodlawn Beach Lakeshore Rd.",NA,NA,"Buffalo","NY","(AYOR),Cruisy Area","Cruising Areas","checked",1991
"92","3763","'Rest Stop' ","on I-87 N. btw exits 9 & 10",NA,"Clifton Park","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1991
"93","3981","Grand Central & Penn Stations ",NA,NA,"Midtown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1991
"94","3982","Port Authority Bldg. ",NA,NA,"Midtown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1991
"95","3996","Central Park-Bethesda Fountain & the Rambles ",NA,"(W. side btwn 72nd & 96th)","Uptown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1991
"96","4094","'Rest Stop' 490 W. ",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1991
"97","4095","Durand-Eastman Park",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1991
"98","4038","La Salle Park",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"99","4039","U. of Buffalo Harriman Hall & Crosby Hall",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"100","4041","Woodlawn Beach Lakeshore Rd.",NA,NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"101","4044","'Rest Stop' on I-87 N. btwn exits 9 & 10",NA,NA,"Clifton Park","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"102","4068","Aviation Mall","nr. cinemas",NA,"Glens Falls","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"103","4078","Cornell U.-Willard Straight Hall & Olin Library ",NA,NA,"Ithaca","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"104","4226","Grand Central & Penn Stations",NA,NA,"N.Y.C. - Midtown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"105","4227","Port Authority Bldg. ",NA,NA,"N.Y.C. - Midtown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"106","4242","Central Park","'-Bethesda Fountain & the Rambles (W. side btwn 72nd & 96th)",NA,"N.Y.C. - Uptown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"107","4243","Columbia University","Schermerhorn Bldg.",NA,"N.Y.C. - Uptown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"108","4245","Van Cortland Park","Broadway & 24th St.",NA,"The Bronx","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"109","4344","'Rest Stop' 490 W.",NA,NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1992
"110","4094","Lark, State & Willet Sts., nr. Washington Park","(AYOR)",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"111","4095","Northway Mall","(AYOR)",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"112","4128","La Salle Park","(AYOR)",NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"113","4129","U. of Buffalo","(AYOR)",NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"114","4130","Washington St. & Oak nr. bus depot","(Hustlers) (AYOR)",NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"115","4131","Woodlawn Beach, Lakeshore Rd.","(AYOR)",NA,"Buffalo","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"116","4134","'Rest Stop' on I-87, N. btwn. exits 9 & 10","(AYOR)",NA,"Clifton Park","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"117","4158","Aviation Mall, trails in woods behind the mall","(AYOR)",NA,"Glens Falls","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"118","4169","Cornell U., Willard Straight Hall & Olin Library","(AYOR)",NA,"Ithaca","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"119","4170","Dewitt Park","(AYOR)",NA,"Ithaca","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"120","4185","'Rest Stop' on I-84 btwn. Middleton & New Hampton along woods","(AYOR)",NA,"Middletown","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"121","4307","Grand Central & Penn Stations","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"122","4308","Port Authority Bldg.","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"123","4321","Central Park-Bethesda Fountain & Rambles (W. side btwn. 72nd & 96th","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"124","4322","Columbia University, Schermerhorn Bldg.","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"125","4323","Van Cortland Park, Broadway & 24th St.","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"126","4332","Brooklyn's ""Promenade', just off Montague St.","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"127","4351","Queens College","(every good queen should go there!) (AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"128","4371","Beach at end of Two Mile Hollow Rd.","(go left) (East Hampton) (AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"129","4372","Fowler Beach, go right, Southampton","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"130","4373","Jones Beach, dunes & bushes E. of parking field #6","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"131","4374","'Rest Stop' on Sunrise Hwy. -exit both sides W. of Shinnecock Canal","(AYOR)",NA,"New York City","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"132","4421","Durand-Eastman Park","(AYOR)",NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"133","4422","'Rest Stop', 409 W.","(AYOR)",NA,"Rochester","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"134","4423","Congress Park - summers, after dusk","(AYOR)",NA,"Saratoga Springs","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"135","4440","Thorndon Park nr. Water Tower","(AYOR)",NA,"Syracuse","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"136","4445","'Rest Stops', 15 mi. N. on I-684","(AYOR)",NA,"White Plains","NY","Cruisy Area,(AYOR)","Cruisy Areas","checked",1993
"137","3726","Lark, State & Willet Sts.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(H),(AYOR)","Cruising Areas","checked",1994
"138","3785","Aviation Mall","trails in woods behind the mall",NA,"Glens Falls","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1994
"139","3958","Central Park ","Bethesda Fountain & Rambles, W. side btwn. 72nd & 96th ",NA,"N.Y.C. - Uptown","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1994
"140","3966","Shore Rd. ","from 95th St. to 3rd Ave. ",NA,"N.Y.C. - Brooklyn","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1994
"141","3999","Beach","at left end of Two Mile Hollow Rd., E. Hampton",NA,"N.Y.C. - Long Island/Suffolk County","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1994
"142","4000","Fowler Beach ","go right, Southhampton ",NA,"N.Y.C. - Long Island/Suffolk County","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1994
"143","4042","Congress Park","summers, after dusk ",NA,"Saratoga Springs","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1994
"144","4055","Thorndon Park ","nr. Water Tower ",NA,"Syracuse","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1994
"145","3947","Lark, State & Willet Sts.","(AYOR)","nr. Washington Park","Albany","NY","Cruisy Area,(H),(AYOR)","Cruising Areas","checked",1995
"146","4007","Aviation Mall","(AYOR)","trails in woods behind the mall","Glens Falls","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1995
"147","4018","Reservoir at Upper Six Mile Creek","(AYOR)","at Van Etten Dam Waterfalls","Ithaca","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1995
"148","4213","Beach","(AYOR)","at left end of Two Mile Hollow Rd., E. Hampton","New York City","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1995
"149","4214","Fowler Beach","(AYOR)","go right, Southampton","New York City","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1995
"150","4227","Club Alternative","inquire locally","429 19th St. (at ferry)","New York City","NY","D","Bars",NA,1995
"151","4268","Congress Park","summers, after dusk (AYOR)",NA,"Saratoga Springs","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1995
"152","4156","Lark, State & Willet Sys.","nr. Washington Park",NA,"Albany","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1996
"153","4219","Aviation Mall ","trails in woods behind the mall",NA,"Glen Falls","NY","Cruisy Area,(AYOR)","Cruising Areas","checked",1996
